area,bb_ratio,falling,hue1,hue2,hue3,hue4,hue5,hue6,hue7,position,variance
1720,1.075,1,0.0008706888417562267,1.5824985997359136e-08,2.4543097683831772e-12,1.1242123947978436e-11,7.617295033552415e-24,-6.740837586959098e-16,-5.8559010978174e-23,3,6062.882292793402
2107,1.1395348837209303,1,0.0008506718357233201,2.2176059130135262e-08,3.59026084788738e-12,7.58761638536639e-12,-1.0357890431529465e-23,-8.774418583397574e-16,-3.8223826324728435e-23,3,5106.062745624513
1976,1.368421052631579,1,0.0008941852811897274,1.0335221659790902e-07,6.600215264312276e-12,8.074943005937783e-12,5.8638527418711e-23,2.5724997585395356e-15,-6.057775626636861e-24,3,4811.256734405989
2145,1.4102564102564104,1,0.0009440703119419384,1.757753515098078e-07,1.8651591095238554e-12,5.284886766543596e-12,-1.5636927399272345e-23,-2.0237392513065735e-15,-5.549514346849394e-24,3,6129.276052618711
2021,1.0930232558139534,1,0.0009067505888237076,6.1336472432826885e-09,6.010071390620618e-14,1.502321016333677e-12,3.11295809159318e-25,5.737848576212363e-17,3.2692181914587745e-25,3,5222.675844748399
1798,1.8709677419354838,1,0.0010422313007014423,2.415022974781461e-07,2.1294166644027874e-12,4.2693937981468796e-12,-2.826605798123016e-24,-1.1103435414651036e-15,-1.2558834938848886e-23,3,6287.37146607094
1862,1.2894736842105263,1,0.0008660341179311539,5.338934629953254e-08,1.0231084397993718e-11,3.562146155323323e-12,1.7266858532972168e-24,2.734786248124454e-16,-2.143502112177213e-23,3,5650.126281927774
1720,1.075,1,0.0009100214723239649,1.7870631756672217e-08,4.13890852682008e-12,9.145469372726344e-12,4.672735600374206e-23,8.661288083305625e-16,-3.1344896944354233e-23,3,6241.70983470795
1593,2.185185185185185,1,0.0012277889915298034,6.459010858899644e-07,4.1980583228124787e-13,1.3017225782014368e-13,2.4957570171181832e-26,7.080534272131186e-17,-1.7409891649079026e-26,3,6166.596089530114
2668,1.2608695652173914,1,0.0008586683628824989,1.353575136017511e-08,7.31682854377631e-13,1.254799415784576e-12,1.02509903600551e-24,-1.4288964589045582e-16,6.2830262194218345e-25,3,5402.952534227637
2832,1.2291666666666667,1,0.0008490832743305414,9.160697302343338e-09,2.1078628365102439e-13,7.075374438414529e-13,5.208847131258708e-26,-2.805097404240124e-17,2.682298381081084e-25,3,5100.728255844226
1344,2.3333333333333335,1,0.0014303156826527227,7.906622062550887e-07,4.773578232684297e-13,1.6166094822341672e-12,-1.3120591103575528e-24,7.633392880754613e-16,-5.434013216988549e-25,3,8202.389464086416
2898,1.3695652173913044,1,0.0009259549776177579,6.569126962162276e-08,3.6797873689857274e-13,2.5846303202800806e-15,5.329811962680478e-30,6.289895948196813e-19,-7.953091328664615e-29,3,6246.931059758498
2170,1.7714285714285714,1,0.0010383116473727332,2.5637475512120835e-07,1.7267885094337886e-12,7.291166842859888e-12,1.5073860489925297e-23,1.5549341408389445e-15,-2.1026014095792087e-23,3,6137.9297128841135
2223,1.4615384615384615,1,0.0009554151950998322,1.4864283561990183e-07,9.512534665593031e-14,3.684889768276977e-12,1.5222933550126206e-24,1.0020105604842574e-15,1.5627588600143155e-24,3,5155.309963375166
2436,1.380952380952381,1,0.000941463658682208,9.637080369658573e-08,8.99852992980766e-13,4.092088340992106e-13,-2.232453580104695e-25,1.2027293817437406e-16,1.087287579383982e-25,3,5166.500036399815
2448,1.8888888888888888,1,0.0010046048251798377,2.2356153921937703e-07,5.217484449082477e-15,3.5179584958878897e-12,-2.90545852446099e-26,1.0060104840119879e-15,4.757274251389693e-25,3,5427.24609375
1856,1.8125,1,0.0011142870032160095,3.8377664865010544e-07,8.703116507325979e-12,5.768286431965542e-12,-3.924135587855135e-23,-2.8357152540282294e-15,1.142347889902674e-23,3,8378.731113211577
1984,1.9375,1,0.0011047257400198132,3.4453249032207073e-07,1.9586455232031353e-12,8.684777125492153e-12,2.8271939922259583e-23,3.6727884947260504e-15,-2.1993472614326292e-23,3,6024.580813595456
2108,1.8235294117647058,1,0.0010968542678917127,3.3804880236746326e-07,1.2440148889222862e-12,6.9936198533721655e-12,1.5761214121417728e-23,2.870412657177088e-15,-1.3308477027888937e-23,3,6053.620902705516
1219,2.3043478260869565,1,0.001594556430456513,1.2840142444926817e-06,1.0872424097707042e-13,1.370801303998487e-11,9.968010419237716e-24,1.3650607618718951e-14,1.344239605259372e-23,3,8665.180613757695
2806,1.326086956521739,1,0.0009269004034482694,6.221710453128747e-08,1.221809584942253e-13,1.1307918653680702e-12,6.890469556571571e-26,-2.3520868551058077e-16,-4.1462943061831175e-25,3,5296.264346611909
2622,1.2391304347826086,1,0.0008142647896323301,1.4893210487657364e-08,6.478176329039419e-13,9.112641787670064e-13,1.8267228612699441e-25,-2.5739036984626097e-17,-6.759029372909099e-25,3,3572.9546745806906
