,falling,area,bb_ratio,hu1,hu2,hu3,hu4,hu5,hu6,hu7,variance
6,0,1428,1.23529411765,0.00244178241512,1.85399514546e-07,1.1015808921e-10,1.07634171057e-10,1.13213100114e-20,4.03499178734e-14,3.03150696504e-21,15648.9795918
7,0,1666,1.44117647059,0.00174102361394,5.02994593926e-07,4.08633382856e-11,4.54959243353e-11,1.68127165929e-21,-1.69916044966e-14,1.01067782514e-21,16237.8826531
8,0,1250,2.0,0.00303227850955,2.82134009498e-06,3.44128808638e-10,5.43390581717e-10,2.25457762145e-19,7.38900694302e-13,6.62105159446e-20,15204.155904
9,0,1408,1.375,0.00168264755076,2.56877621731e-07,1.51900158608e-10,2.99845040706e-10,6.08718741445e-20,1.3320153998e-13,-1.97374555236e-20,16254.1507942
10,0,693,1.57142857143,0.00223976947922,1.17699114801e-06,2.31951505706e-10,5.33984435897e-10,1.59547874047e-19,-1.62814328396e-13,9.93046312067e-20,15657.4839302
11,0,945,1.2962962963,0.00146777241268,1.94406020832e-07,2.03039050129e-11,5.76729888568e-12,5.19501386173e-23,1.86699191894e-15,-3.45845170579e-23,15943.8584026
12,0,990,1.1,0.00125647179501,5.07428440984e-08,6.38465169362e-12,3.01020980672e-11,4.66006364491e-23,2.13015956485e-15,-4.14704710188e-22,15424.0149219
13,0,1152,1.125,0.00182527597752,3.1674104049e-07,1.69202260396e-11,6.3873713338e-11,-1.95729169456e-21,9.429738985e-17,-7.60486521781e-22,16206.0763889
14,0,980,1.25,0.00118948959136,1.24122315925e-07,3.01164172198e-12,2.98099487152e-11,2.76273777004e-22,8.70799726463e-15,-5.87495263321e-23,14910.1837516
15,0,1288,2.4347826087,0.00154267138998,1.24887278459e-06,6.29237653848e-10,6.61571465238e-10,4.26054588523e-19,7.37507340174e-13,2.60013834427e-20,14625.0434011
16,0,1935,1.04651162791,0.00097608975774,3.67711698632e-09,9.12783914575e-14,4.71977986335e-12,3.04151257183e-24,2.68535072588e-16,5.88345754621e-25,11460.4190854
17,0,1360,1.17647058824,0.00103396422102,7.11138245399e-08,7.71231393339e-12,4.86772462517e-12,2.33317095133e-23,6.60382518828e-16,-1.85786340083e-23,14076.5273438
18,0,1364,1.41935483871,0.00135435911233,2.46508299427e-07,1.21041280366e-10,7.77967710183e-11,1.98378799419e-21,7.99982806494e-15,-7.28403411441e-21,15628.6813839
19,0,1581,1.64516129032,0.00135483048585,5.09661491891e-07,1.19530743953e-10,1.01403255251e-10,6.82799201085e-21,1.48665590825e-14,-8.83245011118e-21,15399.2715921
20,0,1224,1.05882352941,0.00152616214595,2.91354863162e-08,2.21890153837e-12,5.41307718844e-10,1.08156664763e-20,8.45117050687e-14,-1.53285038191e-20,16219.7482639
21,0,1900,1.31578947368,0.00119095915464,1.50029367081e-07,2.55558273046e-11,2.21609503474e-11,5.14575624815e-22,6.88092289493e-15,1.1552735618e-22,14678.0698338
22,0,924,1.17857142857,0.00175972296927,2.45230188284e-07,6.42854159328e-10,1.2315228189e-10,-6.10590298328e-21,-5.69049807363e-14,-3.41091293547e-20,16178.2604571
23,0,961,1.0,0.00248585860974,2.62772975942e-08,1.14240369364e-09,1.75692692227e-10,-5.76067189014e-20,-1.3967320477e-14,5.36379317069e-20,15129.5335461
24,0,945,1.2962962963,0.00197477621924,3.74745844095e-07,2.83568823454e-10,9.19826785652e-11,-1.38858711569e-20,-1.29573711384e-14,-5.27915947731e-21,16084.9725372
25,0,1536,1.5,0.00155009910709,5.32079033678e-07,2.041661252e-10,2.23764542942e-10,4.24041221803e-20,1.11944236886e-13,-2.21217412942e-20,16117.3140526
26,0,1032,1.79166666667,0.00191506335465,1.24243015891e-06,6.40153995226e-11,1.03611101403e-11,1.8264472165e-22,3.65385420107e-15,-1.94537224799e-22,16229.3247617
27,0,1020,1.13333333333,0.00168497535781,2.10165373961e-08,9.37797308541e-12,1.01637886442e-10,6.20110074645e-23,9.30224880351e-15,3.13727875447e-21,16251.1875
28,0,1209,1.25806451613,0.00161594964856,5.11313387709e-08,5.64260989719e-10,2.43832845183e-10,7.94114826799e-20,4.34575967683e-14,4.32883281741e-20,16244.1385637
29,0,1260,1.02857142857,0.00141590041897,5.70965364184e-08,2.95117700589e-11,1.82313904712e-10,-1.24482919955e-20,-1.61421751295e-14,-4.88629699404e-21,16149.7181122
30,0,1155,1.06060606061,0.00148896999516,4.54657035464e-09,3.36786959533e-12,7.12467920347e-11,1.08056365607e-21,-4.51521790502e-15,2.24484266721e-22,16126.9701467
31,0,1008,1.28571428571,0.001205634022,1.51634618294e-07,1.95060107799e-11,3.40356678343e-11,-1.99146559001e-22,7.42616858813e-15,8.54061030762e-22,15782.928536
32,0,1008,1.75,0.000945986643243,1.92024578288e-07,3.19748335099e-11,6.78060081078e-12,3.78472548332e-23,2.10946838604e-15,-9.23888269213e-23,11659.7328515
